Command: /home/users14/ja425322/526L/Lab8/./simv -l ram_tb.log
Chronologic VCS simulator copyright 1991-2023
Contains Synopsys proprietary information.
Compiler version U-2023.03-SP1_Full64; Runtime version U-2023.03-SP1_Full64;  Nov 20 18:45 2024
VCD+ Writer U-2023.03-SP1_Full64 Copyright (c) 1991-2023 by Synopsys Inc.
---------------PART-A-----------------
                   0 | Addr (00) = xxxxxxxx | OE= 0 | WS= 0 | CS =0
                   4 | Addr (00) = 00000000 | OE= 0 | WS= 0 | CS =0
                   5 | Addr (00) = 00000000 | OE= 0 | WS= 1 | CS =0
                  10 | Addr (00) = zzzzzzzz | OE= 0 | WS= 0 | CS =0
                  15 | Addr (00) = 00000000 | OE= 1 | WS= 0 | CS =0
                  20 | Addr (01) = zzzzzzzz | OE= 0 | WS= 0 | CS =0
                  24 | Addr (01) = 00000001 | OE= 0 | WS= 0 | CS =0
                  25 | Addr (01) = 00000001 | OE= 0 | WS= 1 | CS =0
                  30 | Addr (01) = zzzzzzzz | OE= 0 | WS= 0 | CS =0
                  35 | Addr (01) = 00000001 | OE= 1 | WS= 0 | CS =0
                  40 | Addr (02) = zzzzzzzz | OE= 0 | WS= 0 | CS =0
                  44 | Addr (02) = 00000010 | OE= 0 | WS= 0 | CS =0
                  45 | Addr (02) = 00000010 | OE= 0 | WS= 1 | CS =0
                  50 | Addr (02) = zzzzzzzz | OE= 0 | WS= 0 | CS =0
                  55 | Addr (02) = 00000010 | OE= 1 | WS= 0 | CS =0
                  60 | Addr (03) = zzzzzzzz | OE= 0 | WS= 0 | CS =0
                  64 | Addr (03) = 00000011 | OE= 0 | WS= 0 | CS =0
                  65 | Addr (03) = 00000011 | OE= 0 | WS= 1 | CS =0
                  70 | Addr (03) = zzzzzzzz | OE= 0 | WS= 0 | CS =0
                  75 | Addr (03) = 00000011 | OE= 1 | WS= 0 | CS =0
                  80 | Addr (04) = zzzzzzzz | OE= 0 | WS= 0 | CS =0
                  84 | Addr (04) = 00000100 | OE= 0 | WS= 0 | CS =0
                  85 | Addr (04) = 00000100 | OE= 0 | WS= 1 | CS =0
                  90 | Addr (04) = zzzzzzzz | OE= 0 | WS= 0 | CS =0
                  95 | Addr (04) = 00000100 | OE= 1 | WS= 0 | CS =0
                 100 | Addr (05) = zzzzzzzz | OE= 0 | WS= 0 | CS =0
                 104 | Addr (05) = 00000101 | OE= 0 | WS= 0 | CS =0
                 105 | Addr (05) = 00000101 | OE= 0 | WS= 1 | CS =0
                 110 | Addr (05) = zzzzzzzz | OE= 0 | WS= 0 | CS =0
                 115 | Addr (05) = 00000101 | OE= 1 | WS= 0 | CS =0
                 120 | Addr (06) = zzzzzzzz | OE= 0 | WS= 0 | CS =0
                 124 | Addr (06) = 00000110 | OE= 0 | WS= 0 | CS =0
                 125 | Addr (06) = 00000110 | OE= 0 | WS= 1 | CS =0
                 130 | Addr (06) = zzzzzzzz | OE= 0 | WS= 0 | CS =0
                 135 | Addr (06) = 00000110 | OE= 1 | WS= 0 | CS =0
                 140 | Addr (07) = zzzzzzzz | OE= 0 | WS= 0 | CS =0
                 144 | Addr (07) = 00000111 | OE= 0 | WS= 0 | CS =0
                 145 | Addr (07) = 00000111 | OE= 0 | WS= 1 | CS =0
                 150 | Addr (07) = zzzzzzzz | OE= 0 | WS= 0 | CS =0
                 155 | Addr (07) = 00000111 | OE= 1 | WS= 0 | CS =0
                 160 | Addr (08) = zzzzzzzz | OE= 0 | WS= 0 | CS =0
                 164 | Addr (08) = 00001000 | OE= 0 | WS= 0 | CS =0
                 165 | Addr (08) = 00001000 | OE= 0 | WS= 1 | CS =0
                 170 | Addr (08) = zzzzzzzz | OE= 0 | WS= 0 | CS =0
